	fsa_lights_per100g	id	ingredients	instructions	nutr_per_ingredient	nutr_values_per100g	partition	quantity	title	unit	url	weight_per_ingr	category
584	"{'fat': 'orange', 'salt': 'green', 'saturates': 'red', 'sugars': 'orange'}"	02d4ecd607	"[{'text': 'spices, pumpkin pie spice'}, {'text': 'wheat flour, white, all-purpose, unenriched'}]"	"[{'text': 'Heat oven to 350 degrees.'}, {'text': 'Prepare pie crust according to package directions filled one-crust pie using 9-inch pie pan.'}, {'text': 'Chill remaining crust for later use.'}, {'text': 'In medium bowl combine half and half, Large eggs, dry mustard and pepper; set aside.'}, {'text': 'Layer ham, cheese, broccoli and onion in pie crust lined pan.'}, {'text': 'Pour egg mix over ham, cheese and broccoli.'}, {'text': 'Bake at 350 degrees for 40 to 50 min or possibly till knife inserted in center comes out clean.'}, {'text': 'Cold 5 min; cut into wedges.'}, {'text': 'Garnish as desired.'}, {'text': 'Chill any remaining quiche.'}, {'text': '6 to 8 servings.'}]"	"[{'fat': 53.580555000000004, 'nrg': 1454.32935, 'pro': 24.493968, 'sat': 27.76833525, 'sod': 221.1261, 'sug': 32.998818}, {'fat': 0.025625, 'nrg': 9.479166666666666, 'pro': 0.268958333333333, 'sat': 0.004041666666666, 'sod': 0.041666666666666005, 'sug': 0.007083333333333001}]"	"{'energy': 342.13390700718327, 'fat': 12.52929710020724, 'protein': 5.787803964036959, 'salt': 0.129233078049768, 'saturates': 6.491198618664006, 'sugars': 7.714422924100533}"	train	"[{'text': '15'}, {'text': '1'}]"	Ham N Swiss Broccoli Quiche Recipe	"[{'text': 'ounce'}, {'text': 'teaspoon'}]"	http://cookeatshare.com/recipes/ham-n-swiss-broccoli-quiche-14883	"[425.2425, 2.604166666666666]"	BREAKFAST
587	"{'fat': 'green', 'salt': 'red', 'saturates': 'green', 'sugars': 'green'}"	02db53ce91	"[{'text': 'sauce, oyster, ready-to-serve'}, {'text': 'celery, raw'}, {'text': 'onions, raw'}, {'text': 'spices, pepper, black'}, {'text': 'sauce, worcestershire'}, {'text': 'butter, without salt'}, {'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}]"	"[{'text': 'Drain Juice into saucepan, add milk, celery, onion, pepper and worchesire, cook until veggies are tender, but do not let boil.'}, {'text': 'Add oysters and butter, simmer for about 10 minutes or until the edges of the oysters curl and the butter melts, but do not boil.'}]"	"[{'fat': 15.36, 'nrg': 3456.0, 'pro': 92.16, 'sat': 3.072, 'sod': 188928.0, 'sug': 0.0}, {'fat': 2.04, 'nrg': 192.0, 'pro': 8.399999999999999, 'sat': 0.504, 'sod': 972.0, 'sug': 16.200000000000003}, {'fat': 1.92, 'nrg': 768.0, 'pro': 21.12, 'sat': 0.804, 'sod': 72.0, 'sug': 81.36}, {'fat': 0.98, 'nrg': 84.0, 'pro': 3.36, 'sat': 0.447999999999999, 'sod': 0.0, 'sug': 0.13999999999999901}, {'fat': 0.0, 'nrg': 4.333333333333333, 'pro': 0.0, 'sat': 0.0, 'sod': 55.666666666666664, 'sug': 0.5700000000000001}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}, {'fat': 4.74, 'nrg': 204.0, 'pro': 16.44, 'sat': 3.09, 'sod': 214.0, 'sug': 25.38}]"	"{'energy': 46.35034659755683, 'fat': 0.45365908890762, 'protein': 1.337199793676953, 'salt': 4.487659931812749, 'saturates': 0.209996603218136, 'sugars': 1.166888925233057}"	test	"[{'text': '12'}, {'text': '12'}, {'text': '12'}, {'text': '14'}, {'text': '1'}, {'text': '2'}, {'text': '2'}]"	Oyster Stew	"[{'text': 'pint'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}, {'text': 'tablespoon'}, {'text': 'cup'}]"	http://www.food.com/recipe/oyster-stew-406593	"[6912.0, 1212.0, 1920.0, 32.199999999999996, 5.666666666666666, 28.4, 488.0]"	LUNCH
588	"{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}"	02db6db8ea	"[{'text': 'pork, fresh, loin, tenderloin, separable lean only, raw'}, {'text': 'water, bottled, generic'}, {'text': 'turnips, raw'}]"	"[{'text': 'Cut salt pork into thin strips.'}, {'text': 'Place pork and water in kettle or possibly Dutch oven; simmer, covered, for 45 min.'}, {'text': 'Thoroughly wash greens in cold water to remove dirt and sand particles.'}, {'text': 'Cut off any roots and remove damaged portions and large veins.'}, {'text': 'Tear or possibly cut up large leaves.'}, {'text': 'Add in to pork and water.'}, {'text': 'Simmer covered, 1 hour.'}, {'text': 'Drain greens reserving liquid.'}, {'text': 'Season greens and pork with salt and pepper to taste.'}, {'text': 'If you like, serve cooking liquid over.'}, {'text': 'Makes 6 servings.'}]"	"[{'fat': 4.9214732, 'nrg': 247.20764, 'pro': 47.513762, 'sat': 1.583036079999999, 'sod': 120.20188, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 64.0, 'sug': 0.0}, {'fat': 0.6803879999999991, 'nrg': 190.50863999999999, 'pro': 6.123492, 'sat': 0.07484267999999901, 'sod': 455.85996, 'sug': 25.854743999999997}]"	"{'energy': 15.623885630414794, 'fat': 0.199953354959194, 'protein': 1.9145331355404651, 'salt': 0.057116067196271006, 'saturates': 0.059176478734887, 'sugars': 0.9228616382732051}"	train	"[{'text': '1/2'}, {'text': '8'}, {'text': '1 1/2'}]"	Salt Pork And Greens Recipe	"[{'text': 'pound'}, {'text': 'cup'}, {'text': 'pound'}]"	http://cookeatshare.com/recipes/salt-pork-and-greens-59722	"[226.796, 1894.4, 680.3879999999999]"	DINNER
589	"{'fat': 'green', 'salt': 'red', 'saturates': 'green', 'sugars': 'red'}"	02ded1955b	"[{'text': 'spices, garlic powder'}, {'text': 'sugars, brown'}, {'text': 'spices, chili powder'}, {'text': 'soy sauce made from soy (tamari)'}, {'text': 'catsup'}]"	"[{'text': 'Boil pork ribs for 45 minutes'}, {'text': 'Put ribs spices ketchup sugar and soy sauce in roasting pan bake covered at 400 for 1 hour stirring occasionally'}, {'text': 'Serve over pasta mmm good'}]"	"[{'fat': 0.24000000000000002, 'nrg': 120.0, 'pro': 6.12, 'sat': 0.096, 'sod': 24.0, 'sug': 0.9600000000000001}, {'fat': 0.0, 'nrg': 176.0, 'pro': 0.0, 'sat': 0.0, 'sod': 16.0, 'sug': 46.56}, {'fat': 1.17, 'nrg': 24.0, 'pro': 1.08, 'sat': 0.198, 'sod': 231.0, 'sug': 0.5700000000000001}, {'fat': 0.08, 'nrg': 44.0, 'pro': 7.5600000000000005, 'sat': 0.008, 'sod': 4020.0, 'sug': 1.24}, {'fat': 0.4, 'nrg': 340.0, 'pro': 3.599999999999999, 'sat': 0.04, 'sod': 3080.0, 'sug': 72.4}]"	"{'energy': 139.3231743518702, 'fat': 0.37403522659806004, 'protein': 3.633485058381159, 'salt': 3.64684345933109, 'saturates': 0.067682564812982, 'sugars': 24.09063922422324}"	train	"[{'text': '4'}, {'text': '1/3'}, {'text': '1'}, {'text': '1/4'}, {'text': '1 1/4'}]"	BBQ pork ribs	"[{'text': 'tablespoon'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'cup'}, {'text': 'cup'}]"	https://cookpad.com/us/recipes/340713-bbq-pork-ribs	"[37.2, 48.0, 8.100000000000001, 72.0, 340.0]"	DINNER
602	"{'fat': 'orange', 'salt': 'green', 'saturates': 'green', 'sugars': 'green'}"	02f0217dea	"[{'text': 'water, bottled, generic'}, {'text': 'shortening, vegetable, household, composite'}, {'text': 'smart soup, indian bean masala'}, {'text': 'chicken, broiler or fryers, breast, skinless, boneless, meat only, raw'}, {'text': 'spices, coriander seed'}, {'text': 'rice, white, long-grain, regular, unenriched, cooked without salt'}, {'text': 'water, bottled, generic'}]"	"[{'text': 'bring 3/4 cup water to a boil in large nonstick skillet, add frozen carrot blend and cook for 5 minutes, then drain off the water.'}, {'text': 'Add tikka masala, chicken, and water cook until heated through.'}, {'text': 'While that is cooking make your 5 min rice.'}, {'text': 'Serve sauce over the rice and sprinkle with fresh cilantro.'}]"	"[{'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 272.0, 'sug': 0.0}, {'fat': 453.4559224, 'nrg': 4009.75328, 'pro': 0.0, 'sat': 113.3072816, 'sod': 18.14368, 'sug': 0.0}, {'fat': 3.742134, 'nrg': 242.38822499999998, 'pro': 14.0330025, 'sat': 0.7654365, 'sod': 391.22310000000004, 'sug': 9.7805775}, {'fat': 7.336, 'nrg': 336.0, 'pro': 63.0, 'sat': 1.5763999999999991, 'sod': 126.0, 'sug': 0.0}, {'fat': 0.32, 'nrg': 5.0, 'pro': 0.22, 'sat': 0.018000000000000002, 'sod': 1.0, 'sug': 0.0}, {'fat': 0.88, 'nrg': 410.0, 'pro': 8.5, 'sat': 0.244, 'sod': 4.0, 'sug': 0.16}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 112.0, 'sug': 0.0}]"	"{'energy': 38.956069961503246, 'fat': 3.626355254282, 'protein': 0.667700476082969, 'salt': 0.017993543114752, 'saturates': 0.9025212701873531, 'sugars': 0.07740053567558301}"	val	"[{'text': '34'}, {'text': '16'}, {'text': '15'}, {'text': '2'}, {'text': '1'}, {'text': '2'}, {'text': '14'}]"	Chicken Tikka Masala	"[{'text': 'cup'}, {'text': 'ounce'}, {'text': 'ounce'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'cup'}]"	http://www.food.com/recipe/chicken-tikka-masala-263097	"[8051.200000000001, 453.592, 425.2425, 280.0, 1.8, 316.0, 3315.2000000000003]"	DINNER
605	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'orange'}"	02f2cf1394	"[{'text': 'alcoholic beverage, distilled, vodka, 80 proof'}, {'text': 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966'}, {'text': 'alcoholic beverage, liqueur, coffee, 53 proof'}, {'text': 'spices, cinnamon, ground'}]"	"[{'text': 'Pour the vodka, chocolate liqueur, coffee liqueur, and schnapps into a cocktail shaker over ice.'}, {'text': 'Cover, and shake until the outside of the shaker has frosted.'}, {'text': 'Strain into a chilled martini glass to serve.'}]"	"[{'fat': 0.0, 'nrg': 128.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 0.0}, {'fat': 2.91703125, 'nrg': 51.078125, 'pro': 0.72953125, 'sat': 1.82328125, 'sod': 0.0, 'sug': 5.83296875}, {'fat': 0.025, 'nrg': 29.25, 'pro': 0.007500000000000001, 'sat': 0.009250000000000001, 'sod': 0.75, 'sug': 3.3325}, {'fat': 0.045, 'nrg': 9.0, 'pro': 0.15000000000000002, 'sat': 0.0135, 'sod': 0.0, 'sug': 0.09}]"	"{'energy': 274.62091296793557, 'fat': 3.774482704154162, 'protein': 1.120873479703048, 'salt': 0.0023692939504020003, 'saturates': 2.3326883588690572, 'sugars': 11.695427262675723}"	train	"[{'text': '2'}, {'text': '1/2'}, {'text': '1/4'}, {'text': '1/4'}]"	Mexican Chocolate Martini	"[{'text': 'fl. oz'}, {'text': 'fl. oz'}, {'text': 'fl. oz'}, {'text': 'fl. oz'}]"	http://allrecipes.com/recipe/mexican-chocolate-martini/	"[55.6, 10.9375, 8.7, 3.9]"	DRINK
627	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'orange'}"	030b443fda	"[{'text': 'pineapple juice, canned or bottled, unsweetened, without added ascorbic acid'}, {'text': 'grapefruit juice, white, raw'}, {'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}, {'text': 'cream, whipped, cream topping, pressurized'}]"	"[{'text': 'Shake all of the ingredients together with ice in a cocktail shaker or a jar with lid.'}, {'text': 'Strain into a cocktail glass and serve.'}, {'text': 'Enjoy!'}]"	"[{'fat': 0.0680388, 'nrg': 30.05047, 'pro': 0.204116399999999, 'sat': 0.004535920000000001, 'sod': 1.13398, 'sug': 5.6585602}, {'fat': 0.056699, 'nrg': 22.11261, 'pro': 0.283495, 'sat': 0.00793786, 'sod': 0.56699, 'sug': 5.159609}, {'fat': 0.27499015, 'nrg': 11.906789999999999, 'pro': 0.95537815, 'sat': 0.17945233500000002, 'sod': 12.47378, 'sug': 1.474174}, {'fat': 6.299258899999999, 'nrg': 72.85821499999999, 'pro': 0.907184, 'sat': 3.921019344999999, 'sod': 2.26796, 'sug': 2.26796}]"	"{'energy': 80.49999999999999, 'fat': 3.938333333333332, 'protein': 1.381666666666666, 'salt': 0.024166666666666003, 'saturates': 2.4179999999999993, 'sugars': 8.559999999999999}"	train	"[{'text': '2'}, {'text': '2'}, {'text': '1'}, {'text': '1'}]"	Acapulco Gold Mocktail	"[{'text': 'ounce'}, {'text': 'ounce'}, {'text': 'ounce'}, {'text': 'ounce'}]"	http://www.food.com/recipe/acapulco-gold-mocktail-460069	"[56.699, 56.699, 28.3495, 28.3495]"	DRINK
628	"{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'red'}"	030d76b54f	"[{'text': 'butter, without salt'}, {'text': 'sugars, powdered'}, {'text': 'cornstarch'}, {'text': 'wheat flour, white, all-purpose, unenriched'}]"	"[{'text': 'Preheat oven to 275F.'}, {'text': 'In large bowl, cream butter, sugar and cornstarch.'}, {'text': 'Mixing with your hands (or get your kids to do it, theyll LOVE it), add flour a little at a time just until the dough no longer sticks to your fingers.'}, {'text': 'You may not use all of the flourthis is okay.'}, {'text': 'Gather dough into a ball and roll out on a lightly floured surface to 1/2-inch thickness.'}, {'text': 'Use a 1 to 2-inch cookie cutter to cut out rounds.'}, {'text': 'Gather scraps, form into ball and roll out again.'}, {'text': 'Cut out more cookies.'}, {'text': 'Repeat until all dough is used.'}, {'text': 'Bake for approximately 30 minutes or until edges just begin to brown.'}, {'text': 'Cool on a cooling rack and store in an airtight container.'}]"	"[{'fat': 183.9542356, 'nrg': 1626.1273199999998, 'pro': 1.927766, 'sat': 114.50703243999999, 'sod': 24.94756, 'sug': 0.1360776}, {'fat': 0.0, 'nrg': 467.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2.0, 'sug': 117.37}, {'fat': 0.007500000000000001, 'nrg': 61.0, 'pro': 0.04125, 'sat': 0.0015, 'sod': 1.5, 'sug': 0.0}, {'fat': 3.075, 'nrg': 1137.5, 'pro': 32.275, 'sat': 0.485, 'sod': 5.0, 'sug': 0.8500000000000001}]"	"{'energy': 487.43474269061255, 'fat': 27.69700036724636, 'protein': 5.070963844003221, 'salt': 0.012382555205421001, 'saturates': 17.028611518504473, 'sugars': 17.526548002653648}"	train	"[{'text': '1/2'}, {'text': '1'}, {'text': '2'}, {'text': '2 1/2'}]"	Grannies Shortbread Cookies	"[{'text': 'pound'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'cup'}]"	http://tastykitchen.com/recipes/desserts/grannies-shortbread-cookies/	"[226.796, 120.0, 16.0, 312.5]"	DESSERT
629	"{'fat': 'red', 'salt': 'green', 'saturates': 'red', 'sugars': 'red'}"	030de10ff5	"[{'text': 'pancakes, plain, dry mix, complete (includes buttermilk)'}, {'text': 'cocoa, dry powder, unsweetened'}, {'text': 'sugars, granulated'}, {'text': 'spices, cinnamon, ground'}, {'text': 'water, bottled, generic'}, {'text': 'nuts, walnuts, english'}, {'text': 'spartan, real semi-sweet chocolate baking chips, upc: 011213162966'}]"	"[{'text': 'In a large bowl, combine the pancake mix, cocoa, sugar and cinnamon.'}, {'text': 'Whisk in water until large lumps disappear.'}, {'text': 'Add the walnuts and chocolate chips, stir until thoroughly mixed.'}, {'text': 'Allow the batter to rest for five minutes.'}, {'text': 'Cook according to directions on the packaged mix.'}, {'text': 'Serve warm with topping of your choice.'}]"	"[{'fat': 9.66966966966967, 'nrg': 1147.147147147147, 'pro': 30.51051051051051, 'sat': 2.564564564564564, 'sod': 3381.3813813813813, 'sug': 50.09009009009009}, {'fat': 2.208749999999999, 'nrg': 36.75, 'pro': 3.16125, 'sat': 1.30125, 'sod': 3.375, 'sug': 0.28125}, {'fat': 0.0, 'nrg': 96.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 25.140000000000004}, {'fat': 0.36, 'nrg': 72.0, 'pro': 1.2, 'sat': 0.108, 'sod': 0.0, 'sug': 0.72}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 12.0, 'sug': 0.0}, {'fat': 991.9, 'nrg': 9945.0, 'pro': 231.66, 'sat': 93.17099999999999, 'sod': 26.0, 'sug': 39.65}, {'fat': 560.0699999999999, 'nrg': 9807.0, 'pro': 140.07, 'sat': 350.07000000000005, 'sod': 0.0, 'sug': 1119.93}]"	"{'energy': 483.9192062761193, 'fat': 35.86780638756549, 'protein': 9.323510242908743, 'salt': 0.196212284845515, 'saturates': 10.254780744525254, 'sugars': 28.337554842768302}"	val	"[{'text': '2'}, {'text': '3'}, {'text': '2'}, {'text': '12'}, {'text': '1 1/2'}, {'text': '13'}, {'text': '12'}]"	Double Chocolate Mexican Brownie Pancakes	"[{'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}]"	http://www.food.com/recipe/double-chocolate-mexican-brownie-pancakes-102247	"[312.3123123123123, 16.125, 25.200000000000003, 31.200000000000003, 355.20000000000005, 1521.0, 2100.0]"	BREAKFAST
630	"{'fat': 'orange', 'salt': 'green', 'saturates': 'orange', 'sugars': 'green'}"	030ef931e4	"[{'text': 'oil, olive, salad or cooking'}, {'text': 'onions, raw'}, {'text': 'potatoes, raw, skin'}, {'text': 'milk, buttermilk, fluid, cultured, lowfat'}, {'text': 'butter, without salt'}, {'text': 'salt, table'}, {'text': 'spices, pepper, black'}]"	"[{'text': 'Heat olive oil in a large skillet over medium-high heat.'}, {'text': 'Add onion; saute 15 minutes or until golden.'}, {'text': 'Place potatoes in a saucepan; cover with water, and bring to a boil.'}, {'text': 'Cover, reduce heat, and simmer 15 minutes or until tender; drain.'}, {'text': 'Stir in buttermilk, butter, salt, and black pepper; mash with a potato masher.'}, {'text': 'Stir in onion.'}]"	"[{'fat': 9.0, 'nrg': 79.33333333333333, 'pro': 0.0, 'sat': 1.2426666666666661, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.24, 'nrg': 96.0, 'pro': 2.64, 'sat': 0.1005, 'sod': 9.0, 'sug': 10.17}, {'fat': 0.6803879999999991, 'nrg': 394.6250399999999, 'pro': 17.485971599999996, 'sat': 0.176900879999999, 'sod': 68.0388, 'sug': 0.0}, {'fat': 1.08, 'nrg': 49.0, 'pro': 4.055, 'sat': 0.6715, 'sod': 233.0, 'sug': 5.87}, {'fat': 23.04, 'nrg': 204.0, 'pro': 0.24, 'sat': 14.338, 'sod': 4.0, 'sug': 0.02}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 581.25, 'sug': 0.0}, {'fat': 0.0175, 'nrg': 1.5, 'pro': 0.059999999999999006, 'sat': 0.008, 'sod': 0.0, 'sug': 0.0025}]"	"{'energy': 76.17207658921573, 'fat': 3.146623452575521, 'protein': 2.261807877763744, 'salt': 0.20679032819858, 'saturates': 1.527913236748361, 'sugars': 1.484021534365088}"	train	"[{'text': '2'}, {'text': '1 1/2'}, {'text': '1 1/2'}, {'text': '1/2'}, {'text': '2'}, {'text': '1/4'}, {'text': '1/4'}]"	Caramelized Onion Mashed Potatoes	"[{'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'pound'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}]"	http://www.myrecipes.com/recipe/caramelized-onion-potatoes	"[9.0, 240.0, 680.3879999999999, 122.5, 28.4, 1.5, 0.5750000000000001]"	APPETIZER
631	"{'fat': 'orange', 'salt': 'orange', 'saturates': 'green', 'sugars': 'green'}"	03105fe44b	"[{'text': ""leavening agents, yeast, baker's, active dry""}, {'text': 'water, bottled, generic'}, {'text': 'oil, olive, salad or cooking'}, {'text': 'sugars, granulated'}, {'text': 'cream, sour, cultured'}, {'text': 'salt, table'}, {'text': 'wheat flour, white, all-purpose, unenriched'}, {'text': 'wheat flour, white, all-purpose, unenriched'}]"	"[{'text': 'Add the water and yeast to the work bowl of a food processor fitted with stainless steel blade.'}, {'text': 'Add oil, sugar, and yogurt (or sour cream) and pulse to combine.'}, {'text': 'Add salt, whole wheat and all-purpose flours; process until smooth, about 15 seconds, scraping down sides of bowl.'}, {'text': 'Continue to process until dough just pulls completely away from sides of bowl (adding more flour as necessary) and it is soft and satiny, about 30 seconds.'}, {'text': 'Remove from the bowl and knead once or twice on a lightly floured counter.'}, {'text': 'Place dough in medium bowl, cover with a clean towel, and place in draft-free spot until dough doubles in size about 45 minutes.'}, {'text': 'Preheat a pizza stone or cookie sheet in the bottom third of a 500 degrees F (260 degrees C) oven for at least 30 minutes.'}, {'text': 'Turn dough onto lightly floured work surface.'}, {'text': 'Divide into 8 equal pieces, and roll each piece into a ball on your work surface.'}, {'text': 'Use a rolling pin to roll each ball out to a 4 (10 cm) circle.'}, {'text': 'Rest for 10 minutes, then roll (or toss) each round out to 6 (14 cm).'}, {'text': 'Bake the dough rounds, in batches, on preheated tiles or pizza stone until bread is puffed and golden brown on bottom, 5 to 6 minutes.'}, {'text': 'Cool for 5 minutes on a wire rack; wrap in clean kitchen towels and serve warm or at room temperature.'}, {'text': 'Tips:'}, {'text': '* After rising, the dough can be wrapped tightly and refrigerated up to 2 days.'}, {'text': 'I often cook 1/2 batch, then save the remaining dough for a meal in the near future.'}, {'text': '* Work quickly when getting the bread in and out of the oven.'}, {'text': 'YOURE LOSING HEAT!'}, {'text': '* To cook on the stove top, preheat a dry cast iron pan over medium high heat for 5-10 minutes.'}, {'text': 'Grill bread on the hot pan until small bubbles appear.'}, {'text': 'Flip, grill until golden, then flip again to brown the other side.'}]"	"[{'fat': 0.6000000000000001, 'nrg': 26.0, 'pro': 3.24, 'sat': 0.08, 'sod': 4.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 13.5, 'nrg': 119.0, 'pro': 0.0, 'sat': 1.8639999999999999, 'sod': 0.0, 'sug': 0.0}, {'fat': 0.0, 'nrg': 32.0, 'pro': 0.0, 'sat': 0.0, 'sod': 0.0, 'sug': 8.38}, {'fat': 9.28, 'nrg': 96.0, 'pro': 1.16, 'sat': 4.868, 'sod': 16.0, 'sug': 1.6400000000000001}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 2325.0, 'sug': 0.0}, {'fat': 0.615, 'nrg': 227.5, 'pro': 6.455, 'sat': 0.097, 'sod': 1.0, 'sug': 0.17}, {'fat': 2.46, 'nrg': 910.0, 'pro': 25.82, 'sat': 0.388, 'sod': 4.0, 'sug': 0.68}]"	"{'energy': 222.7574226152874, 'fat': 4.177984838913455, 'protein': 5.79200884396715, 'salt': 0.930985470625394, 'saturates': 1.152400505369551, 'sugars': 1.7166771951989892}"	train	"[{'text': '2'}, {'text': '1'}, {'text': '1'}, {'text': '2'}, {'text': '1/4'}, {'text': '1'}, {'text': '1/2'}, {'text': '2'}]"	Oven Baked Flat Breads	"[{'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'tablespoon'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'cup'}]"	http://tastykitchen.com/recipes/breads/oven-baked-flat-breads/	"[8.0, 236.8, 13.5, 8.4, 48.0, 6.0, 62.5, 250.0]"	APPETIZER
632	"{'fat': 'green', 'salt': 'green', 'saturates': 'green', 'sugars': 'orange'}"	0312e553a2	"[{'text': 'alcoholic beverage, distilled, vodka, 80 proof'}, {'text': 'cranberry juice, unsweetened'}]"	"[{'text': 'Fill glass with ice.'}, {'text': 'Add Smirnoff Green Apple Flavored Vodka and cranberry juice.'}, {'text': 'Stir well.'}]"	"[{'fat': 0.0, 'nrg': 98.2310175, 'pro': 0.0, 'sat': 0.0, 'sod': 0.425242499999999, 'sug': 0.0}, {'fat': 0.11056304999999901, 'nrg': 39.12231, 'pro': 0.33168915, 'sat': 0.00850485, 'sod': 1.700969999999999, 'sug': 10.290868499999998}]"	"{'energy': 107.66666666666667, 'fat': 0.086666666666666, 'protein': 0.26, 'salt': 0.0041666666666660005, 'saturates': 0.006666666666666, 'sugars': 8.066666666666666}"	train	"[{'text': '1 1/2'}, {'text': '3'}]"	Smirnoff Red Apple	"[{'text': 'ounce'}, {'text': 'ounce'}]"	http://www.food.com/recipe/smirnoff-red-apple-423075	"[42.524249999999995, 85.04849999999999]"	DRINK
633	"{'fat': 'orange', 'salt': 'red', 'saturates': 'orange', 'sugars': 'green'}"	0313a7e485	"[{'text': 'butter, without salt'}, {'text': 'onions, raw'}, {'text': 'celery, raw'}, {'text': 'water, bottled, generic'}, {'text': 'milk, fluid, 1% fat, without added vitamin a and vitamin d'}, {'text': 'cheese, roquefort'}, {'text': 'cheese, parmesan, hard'}, {'text': 'salt, table'}, {'text': 'spices, pepper, black'}]"	"[{'text': 'In a soup pot, melt the butter over medium heat.'}, {'text': 'Add the onions and celery, cover and cook, stirring frequently until soft but not browned, 10 to 15 minutes.'}, {'text': 'Add the water, cover, and bring to a simmer.'}, {'text': 'In a blender, combine the milk, Roquefort, and the cream cheese; and puree until very smooth.'}, {'text': 'Stir the puree into the soup and add salt and pepper.'}, {'text': 'Reheat and serve hot.'}]"	"[{'fat': 7.68, 'nrg': 68.0, 'pro': 0.079999999999999, 'sat': 4.779333333333333, 'sod': 1.333333333333333, 'sug': 0.006666666666666}, {'fat': 0.16, 'nrg': 64.0, 'pro': 1.76, 'sat': 0.067, 'sod': 6.0, 'sug': 6.78}, {'fat': 0.34, 'nrg': 32.0, 'pro': 1.4, 'sat': 0.084, 'sod': 162.0, 'sug': 2.7}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 8.0, 'sug': 0.0}, {'fat': 4.74, 'nrg': 204.0, 'pro': 16.44, 'sat': 3.09, 'sod': 214.0, 'sug': 25.38}, {'fat': 34.7451472, 'nrg': 418.43861999999996, 'pro': 24.425929199999995, 'sat': 21.843856740000003, 'sod': 2051.36982, 'sug': 0.0}, {'fat': 58.58140679999999, 'nrg': 889.04032, 'pro': 81.07956999999999, 'sat': 37.2172236, 'sod': 3120.71296, 'sug': 1.814368}, {'fat': 0.0, 'nrg': 0.0, 'pro': 0.0, 'sat': 0.0, 'sod': 41850.0, 'sug': 0.0}, {'fat': 1.26, 'nrg': 108.0, 'pro': 4.32, 'sat': 0.5760000000000001, 'sod': 0.0, 'sug': 0.18}]"	"{'energy': 112.46126330560355, 'fat': 6.779066803262666, 'protein': 8.166259616754896, 'salt': 7.474398146999882, 'saturates': 4.266289914078201, 'sugars': 2.324355187151792}"	train	"[{'text': '2'}, {'text': '1'}, {'text': '2'}, {'text': '1'}, {'text': '2'}, {'text': '4'}, {'text': '8'}, {'text': '18'}, {'text': '18'}]"	Celery Roquefort Soup	"[{'text': 'teaspoon'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'cup'}, {'text': 'ounce'}, {'text': 'ounce'}, {'text': 'teaspoon'}, {'text': 'teaspoon'}]"	http://www.food.com/recipe/celery-roquefort-soup-225007	"[9.466666666666665, 160.0, 202.0, 236.8, 488.0, 113.398, 226.796, 108.0, 41.4]"	LUNCH
